"CODIGOCLIENTE";"%SHR GRUPO1CLIENTE";"%SHR GRUPO 2CLIENTE";"%SHR GRUPO 3CLIENTE";"%SHR GRUPO 4CLIENTE";"%SHR GRUPO 5CLIENTE"
18014370;0,24;0,26;0,18;0,67;0,60
18014373;0,45;0,51;0,46;0,67;0,16
18007122;0,36;0,37;0,32;0,67;0,43
18005727;0,39;0,37;0,42;0,67;0,21
18004341;0,40;0,41;0,37;0,61;0,59
7145007;0,34;0,43;0,23;0,67;0,56
7136919;0,31;0,25;0,40;0,57;0,36
7133412;0,31;0,28;0,43;0,67;0,08
7121919;0,00;0,00;0,00;0,00;0,00
7104099;0,40;0,59;0,33;0,65;0,09
6070056;0,49;0,51;0,46;0,67;0,35
7088709;0,42;0,67;0,30;0,67;0,65
7071768;0,41;0,43;0,36;0,67;0,54
6288627;0,57;0,67;0,53;0,67;0,15
7064127;0,55;0,58;0,55;0,67;0,20
6003063;0,55;0,59;0,51;0,67;0,63
6003786;0,48;0,48;0,48;0,56;0,44
6005592;0,39;0,32;0,46;0,67;0,65
6006504;0,44;0,47;0,40;0,63;0,39
6007086;0,37;0,48;0,36;0,67;0,09
6007095;0,23;0,00;0,25;0,67;0,06
6007575;0,34;0,31;0,36;0,67;0,25
6010500;0,45;0,42;0,50;0,67;0,28
6012606;0,42;0,43;0,40;0,67;0,33
6018183;0,58;0,64;0,58;0,67;0,28
6020415;0,45;0,55;0,42;0,67;0,16
6025956;0,56;0,56;0,55;0,67;0,48
6030384;0,37;0,49;0,30;0,67;0,58
6048288;0,46;0,48;0,39;0,67;0,52
6050151;0,57;0,53;0,59;0,67;0,45
6057918;0,45;0,45;0,42;0,67;0,54
6065952;0,28;0,29;0,25;0,67;0,29
6106395;0,44;0,52;0,39;0,63;0,21
6123096;0,40;0,48;0,33;0,67;0,16
6125739;0,48;0,41;0,55;0,67;0,60
6127131;0,36;0,38;0,32;0,57;0,62
6141657;0,48;0,63;0,40;0,40;0,25
6188373;0,32;0,29;0,34;0,61;0,58
6262194;0,55;0,50;0,62;0,67;0,29
6268401;0,51;0,50;0,51;0,67;0,37
6271113;0,32;0,29;0,41;0,67;0,07
6302031;0,19;0,15;0,30;0,67;0,53
6316989;0,52;0,47;0,55;0,67;0,40
6333276;0,58;0,61;0,53;0,67;0,62
6342714;0,40;0,48;0,32;0,67;0,34
6351915;0,51;0,55;0,48;0,67;0,27
6415233;0,51;0,56;0,47;0,64;0,63
6868611;0,36;0,28;0,52;0,67;0,27
7041987;0,45;0,46;0,40;0,67;0,47
18012660;0,24;0,29;0,29;0,62;0,01
7138869;0,30;0,28;0,39;0,31;0,06
7138872;0,31;0,27;0,40;0,30;0,08
7113060;0,29;0,40;0,22;0,23;0,17
6011688;0,34;0,45;0,20;0,30;0,15
6064170;0,17;0,15;0,38;0,00;0,64
6066912;0,24;0,23;0,24;0,32;0,61
6333567;0,20;0,20;0,37;0,29;0,01
6352095;0,27;0,28;0,24;0,57;0,61
6352611;0,22;0,23;0,19;0,36;0,66
18370416;0,00;0,00;0,00;0,00;0,00
18369999;0,00;0,00;0,00;0,00;0,00
18366783;0,00;0,00;0,00;0,00;0,00
18367191;0,00;0,00;0,00;0,00;0,00
18342933;0,00;0,00;0,00;0,00;0,00
18344505;0,00;0,00;0,00;0,00;0,00
18341655;0,00;0,00;0,00;0,00;0,00
18338754;0,00;0,00;0,00;0,00;0,00
18338772;0,00;0,00;0,00;0,00;0,00
18338811;0,00;0,00;0,00;0,00;0,00
18339561;0,00;0,00;0,00;0,00;0,00
18308388;0,00;0,00;0,00;0,00;0,00
18307074;0,00;0,00;0,00;0,00;0,00
18304218;0,00;0,00;0,00;0,00;0,00
18301071;0,00;0,00;0,00;0,00;0,00
18299013;0,00;0,00;0,00;0,00;0,00
18297579;0,00;0,00;0,00;0,00;0,00
18294006;0,00;0,00;0,00;0,00;0,00
18293217;0,00;0,00;0,00;0,00;0,00
18289272;0,00;0,00;0,00;0,00;0,00
18289521;0,00;0,00;0,00;0,00;0,00
18282465;0,00;0,00;0,00;0,00;0,00
18275892;0,00;0,00;0,00;0,00;0,00
18273348;0,00;0,00;0,00;0,00;0,00
18273984;0,00;0,00;0,00;0,00;0,00
18270450;0,00;0,00;0,00;0,00;0,00
18269058;0,00;0,00;0,00;0,00;0,00
18266544;0,00;0,00;0,00;0,00;0,00
18265554;0,00;0,00;0,00;0,00;0,00
18264711;0,00;0,00;0,00;0,00;0,00
18264735;0,00;0,00;0,00;0,00;0,00
18264981;0,00;0,00;0,00;0,00;0,00
18265260;0,00;0,00;0,00;0,00;0,00
18262875;0,00;0,00;0,00;0,00;0,00
18262125;0,00;0,00;0,00;0,00;0,00
18259587;0,00;0,00;0,00;0,00;0,00
18256773;0,00;0,00;0,00;0,00;0,00
18255339;0,00;0,00;0,00;0,00;0,00
18252228;0,00;0,00;0,00;0,00;0,00
18252366;0,00;0,00;0,00;0,00;0,00
18252423;0,00;0,00;0,00;0,00;0,00
18250413;0,00;0,00;0,00;0,00;0,00
18248631;0,00;0,00;0,00;0,00;0,00
18247032;0,00;0,00;0,00;0,00;0,00
18243465;0,00;0,00;0,00;0,00;0,00
18242772;0,00;0,00;0,00;0,00;0,00
18238428;0,00;0,00;0,00;0,00;0,00
18237501;0,00;0,00;0,67;0,00;0,00
18235410;0,67;0,00;0,67;0,00;0,00
18231690;0,00;0,00;0,00;0,00;0,00
18228897;0,67;0,00;0,67;0,00;0,00
18213918;0,00;0,00;0,00;0,00;0,00
18210342;0,00;0,00;0,00;0,00;0,00
18203226;0,00;0,00;0,00;0,00;0,00
18203493;0,00;0,00;0,00;0,00;0,00
18201357;0,67;0,00;0,67;0,00;0,00
18200832;0,42;0,67;0,67;0,00;0,16
18195348;0,00;0,00;0,00;0,00;0,00
18192939;0,00;0,00;0,00;0,00;0,00
18189366;0,00;0,00;0,00;0,00;0,00
18187413;0,00;0,00;0,00;0,00;0,00
18186255;0,00;0,00;0,00;0,00;0,00
18185304;0,00;0,00;0,00;0,00;0,00
18185577;0,00;0,00;0,00;0,00;0,00
18183525;0,67;0,67;0,67;0,00;0,00
18182799;0,67;0,67;0,67;0,00;0,00
18175968;0,00;0,00;0,00;0,00;0,00
18175986;0,00;0,00;0,00;0,00;0,00
18175389;0,00;0,00;0,00;0,00;0,00
18174273;0,00;0,00;0,00;0,00;0,00
18172272;0,67;0,67;0,67;0,00;0,00
18171501;0,25;0,52;0,22;0,00;0,10
18171726;0,00;0,00;0,00;0,00;0,00
18165909;0,00;0,00;0,00;0,00;0,00
18165936;0,00;0,00;0,00;0,00;0,00
18162099;0,00;0,00;0,00;0,00;0,00
18153738;0,00;0,00;0,00;0,00;0,00
18151440;0,00;0,00;0,00;0,00;0,00
18144960;0,00;0,00;0,00;0,00;0,00
18144981;0,00;0,00;0,00;0,00;0,00
18141447;0,00;0,00;0,00;0,00;0,00
18135840;0,00;0,00;0,00;0,00;0,00
18132978;0,00;0,00;0,00;0,00;0,00
18132513;0,00;0,00;0,00;0,00;0,00
18132615;0,00;0,00;0,00;0,00;0,00
18130266;0,00;0,00;0,00;0,00;0,00
18130278;0,00;0,00;0,00;0,00;0,00
18130281;0,67;0,00;0,67;0,00;0,00
18130287;0,00;0,00;0,00;0,00;0,00
18130134;0,67;0,67;0,67;0,00;0,00
18130143;0,00;0,00;0,00;0,00;0,00
18130164;0,00;0,00;0,00;0,00;0,00
18128358;0,00;0,00;0,00;0,00;0,00
18124920;0,00;0,00;0,00;0,00;0,00
18123774;0,31;0,28;0,34;0,00;0,00
18123789;0,00;0,00;0,00;0,00;0,00
18123897;0,00;0,00;0,00;0,00;0,00
18121608;0,00;0,00;0,00;0,00;0,00
18120789;0,00;0,00;0,00;0,00;0,00
18120885;0,00;0,00;0,00;0,00;0,00
18120891;0,00;0,00;0,00;0,00;0,00
18120732;0,00;0,00;0,00;0,00;0,00
18119487;0,00;0,00;0,00;0,00;0,00
18119511;0,00;0,00;0,00;0,00;0,00
18119514;0,00;0,00;0,00;0,00;0,00
18119520;0,00;0,00;0,00;0,00;0,00
18119538;0,00;0,00;0,00;0,00;0,00
18114252;0,26;0,25;0,28;0,00;0,00
18113148;0,00;0,00;0,00;0,00;0,00
18113154;0,00;0,00;0,00;0,00;0,00
18113205;0,00;0,00;0,00;0,00;0,00
18113208;0,00;0,00;0,00;0,00;0,00
18101658;0,25;0,27;0,32;0,00;0,16
18101676;0,00;0,00;0,00;0,00;0,00
18099792;0,67;0,00;0,67;0,00;0,00
18098352;0,67;0,00;0,67;0,00;0,00
18097833;0,67;0,67;0,67;0,00;0,00
18096810;0,00;0,00;0,00;0,00;0,00
18094650;0,67;0,67;0,67;0,00;0,00
18092985;0,00;0,00;0,00;0,00;0,00
18092190;0,00;0,00;0,00;0,00;0,00
18090048;0,67;0,00;0,67;0,00;0,00
18082692;0,00;0,00;0,00;0,00;0,00
18082803;0,00;0,00;0,00;0,00;0,00
18082248;0,00;0,00;0,00;0,00;0,00
18080670;0,00;0,00;0,00;0,00;0,00
18080793;0,00;0,00;0,00;0,00;0,00
18078906;0,00;0,00;0,00;0,00;0,00
18078912;0,00;0,00;0,00;0,00;0,00
18078957;0,00;0,00;0,00;0,00;0,00
18078186;0,00;0,00;0,00;0,00;0,00
18075276;0,00;0,00;0,00;0,00;0,00
18075279;0,00;0,00;0,00;0,00;0,00
18075303;0,00;0,00;0,00;0,00;0,00
18075324;0,00;0,00;0,00;0,00;0,00
18072252;0,00;0,00;0,00;0,00;0,00
18072294;0,00;0,00;0,00;0,00;0,00
18072363;0,00;0,00;0,00;0,00;0,00
18072378;0,00;0,00;0,00;0,00;0,00
18072066;0,00;0,00;0,00;0,00;0,00
18068922;0,00;0,00;0,00;0,00;0,00
18063105;0,00;0,00;0,00;0,00;0,00
18063204;0,00;0,00;0,00;0,00;0,00
18062511;0,00;0,00;0,00;0,00;0,00
18061614;0,00;0,00;0,00;0,00;0,00
18059004;0,00;0,00;0,00;0,00;0,00
18057516;0,00;0,00;0,00;0,00;0,00
18055707;0,00;0,00;0,00;0,00;0,00
18055713;0,00;0,00;0,00;0,00;0,00
18055716;0,00;0,00;0,00;0,00;0,00
18054585;0,00;0,00;0,00;0,00;0,00
18053796;0,00;0,00;0,00;0,00;0,00
18051033;0,00;0,00;0,00;0,00;0,00
18050358;0,00;0,00;0,00;0,00;0,00
18048129;0,00;0,00;0,00;0,00;0,00
18047463;0,00;0,00;0,00;0,00;0,00
18047541;0,00;0,00;0,00;0,00;0,00
18047547;0,00;0,00;0,00;0,00;0,00
18047373;0,00;0,00;0,00;0,00;0,00
18045309;0,00;0,00;0,00;0,00;0,00
18045312;0,00;0,00;0,00;0,00;0,00
18044805;0,00;0,00;0,00;0,00;0,00
18044808;0,00;0,00;0,00;0,00;0,00
18044826;0,00;0,00;0,00;0,00;0,00
18044904;0,67;0,00;0,67;0,00;0,00
18043230;0,00;0,00;0,00;0,00;0,00
18043236;0,00;0,00;0,00;0,00;0,00
18040401;0,00;0,00;0,00;0,00;0,00
18037707;0,00;0,00;0,00;0,00;0,00
18037743;0,00;0,00;0,00;0,00;0,00
18036189;0,00;0,00;0,00;0,00;0,00
18036198;0,00;0,00;0,00;0,00;0,00
18031029;0,00;0,00;0,00;0,00;0,00
18030519;0,00;0,00;0,00;0,00;0,00
18030522;0,00;0,00;0,00;0,00;0,00
18029049;0,00;0,00;0,00;0,00;0,00
18028830;0,00;0,00;0,00;0,00;0,00
18028233;0,00;0,00;0,00;0,00;0,00
18028251;0,67;0,67;0,67;0,00;0,00
18027600;0,16;0,25;0,12;0,00;0,00
18027315;0,67;0,00;0,67;0,00;0,00
18026646;0,00;0,00;0,00;0,00;0,00
18026733;0,00;0,00;0,00;0,00;0,00
18026757;0,44;0,67;0,67;0,00;0,16
18023181;0,00;0,00;0,00;0,00;0,00
18023391;0,00;0,00;0,00;0,00;0,00
18022500;0,34;0,45;0,31;0,00;0,23
18021963;0,00;0,00;0,00;0,00;0,00
18020553;0,00;0,00;0,00;0,00;0,00
18015264;0,00;0,00;0,00;0,00;0,00
18015276;0,00;0,00;0,00;0,00;0,00
18014484;0,00;0,00;0,00;0,00;0,00
18014508;0,00;0,00;0,00;0,00;0,00
18014349;0,00;0,00;0,00;0,00;0,00
18012165;0,00;0,00;0,00;0,00;0,00
18011550;0,00;0,00;0,00;0,00;0,00
18011553;0,00;0,00;0,00;0,00;0,00
18011202;0,00;0,00;0,00;0,00;0,00
18010905;0,00;0,00;0,00;0,00;0,00
18010119;0,67;0,67;0,67;0,00;0,00
18010125;0,00;0,00;0,00;0,00;0,00
